,num_mc_samples,model_train_size,image_id,agg_uncertainty
63,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_57,0.0
64,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_6,0.3950136
65,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_60,0.0
66,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_63,0.0
67,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_66,0.0
68,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_69,0.0
69,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_72,0.0
70,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_75,0.0
71,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_78,0.0
72,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_81,0.044630162
73,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_84,0.048034914
74,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_87,0.019494051
75,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_9,0.1572394
76,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_90,0.035452068
77,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_93,0.09311973
78,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_96,0.08149466
79,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_99,0.04554928
80,20,270,acdc_data2_F016_pos_3_0,0.23785625
81,20,270,acdc_data2_F016_pos_3_102,0.17507255
82,20,270,acdc_data2_F016_pos_3_105,0.14871995
83,20,270,acdc_data2_F016_pos_3_108,0.23406482
84,20,270,acdc_data2_F016_pos_3_111,0.27050772
85,20,270,acdc_data2_F016_pos_3_114,0.27690876
86,20,270,acdc_data2_F016_pos_3_117,0.31178534
87,20,270,acdc_data2_F016_pos_3_12,0.2553163
88,20,270,acdc_data2_F016_pos_3_120,0.26950672
89,20,270,acdc_data2_F016_pos_3_123,0.29180518
90,20,270,acdc_data2_F016_pos_3_126,0.27152488
91,20,270,acdc_data2_F016_pos_3_15,0.20261478
92,20,270,acdc_data2_F016_pos_3_18,0.41948816
93,20,270,acdc_data2_F016_pos_3_21,0.34849557
94,20,270,acdc_data2_F016_pos_3_24,0.17980899
95,20,270,acdc_data2_F016_pos_3_27,0.08285608
96,20,270,acdc_data2_F016_pos_3_3,0.18181616
97,20,270,acdc_data2_F016_pos_3_30,0.044767916
98,20,270,acdc_data2_F016_pos_3_33,0.038897276
99,20,270,acdc_data2_F016_pos_3_36,0.1067583
100,20,270,acdc_data2_F016_pos_3_39,0.28588176
101,20,270,acdc_data2_F016_pos_3_42,0.25075847
102,20,270,acdc_data2_F016_pos_3_45,0.2438416
103,20,270,acdc_data2_F016_pos_3_48,0.24591596
104,20,270,acdc_data2_F016_pos_3_51,0.48885757
105,20,270,acdc_data2_F016_pos_3_54,0.36897975
106,20,270,acdc_data2_F016_pos_3_57,0.42861995
107,20,270,acdc_data2_F016_pos_3_6,0.21763235
108,20,270,acdc_data2_F016_pos_3_60,0.33423135
109,20,270,acdc_data2_F016_pos_3_63,0.20803446
110,20,270,acdc_data2_F016_pos_3_66,0.15107363
111,20,270,acdc_data2_F016_pos_3_69,0.1823569
112,20,270,acdc_data2_F016_pos_3_72,0.3100256
113,20,270,acdc_data2_F016_pos_3_75,0.29911685
114,20,270,acdc_data2_F016_pos_3_78,0.30345497
115,20,270,acdc_data2_F016_pos_3_81,0.3129227
116,20,270,acdc_data2_F016_pos_3_84,0.30486712
117,20,270,acdc_data2_F016_pos_3_87,0.34211174
118,20,270,acdc_data2_F016_pos_3_9,0.20884465
119,20,270,acdc_data2_F016_pos_3_90,0.47056916
120,20,270,acdc_data2_F016_pos_3_93,0.39046285
121,20,270,acdc_data2_F016_pos_3_96,0.4610306
122,20,270,acdc_data2_F016_pos_3_99,0.31874028
123,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_0,0.0
124,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_102,0.21303159
125,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_105,0.26362655
126,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_108,0.15451162
127,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_111,0.22081222
128,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_114,0.1322801
