,num_mc_samples,dropout_prob,model_train_size,image_id,run_id,agg_uncertainty
79,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,9,0.0
80,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,0,0.029042996
81,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,1,0.02987024
82,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,2,0.029775456
83,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,3,0.03029154
84,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,4,0.0298387
85,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,5,0.029349627
86,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,6,0.029018633
87,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,7,0.029772228
88,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,8,0.029927112
89,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,9,0.030615825
90,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,0,0.07071429
91,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,1,0.053571433
92,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,2,0.045714285
93,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,3,0.053571433
94,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,4,0.060000006
95,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,5,0.065000005
96,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,6,0.053571433
97,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,7,0.060000006
98,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,8,0.065000005
99,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,9,0.060000006
100,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,0,0.0
101,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,1,0.0
102,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,2,0.0
103,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,3,0.0
104,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,4,0.0
105,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,5,0.0
106,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,6,0.0
107,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,7,0.0
108,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,8,0.0
109,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,9,0.0
110,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,0,0.027399274
111,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,1,0.026496165
112,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,2,0.026849397
113,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,3,0.02670218
114,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,4,0.02776479
115,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,5,0.025462477
116,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,6,0.027692111
117,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,7,0.027184777
118,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,8,0.025997099
119,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,9,0.026945174
120,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,0,0.0
121,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,1,0.0
122,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,2,0.0
123,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,3,0.0
124,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,4,0.0
125,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,5,0.0
126,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,6,0.0
127,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,7,0.0
128,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,8,0.011176474
129,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,9,0.0
130,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,0,0.0
131,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,1,0.0
132,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,2,0.0
