,num_mc_samples,model_train_size,image_id,run_id,agg_uncertainty
142,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,2,0.24497817
143,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,3,0.25509888
144,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,4,0.24690476
145,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,5,0.26951978
146,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,6,0.2107121
147,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,7,0.22746442
148,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,8,0.25826722
149,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,9,0.27246374
150,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,0,0.3353786
151,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,1,0.33943737
152,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,2,0.33054
153,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,3,0.34854683
154,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,4,0.35243124
155,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,5,0.32967287
156,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,6,0.2896351
157,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,7,0.34838694
158,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,8,0.32648253
159,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,9,0.3503043
160,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,0,0.32355484
161,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,1,0.35119447
162,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,2,0.2978006
163,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,3,0.32418743
164,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,4,0.3429301
165,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,5,0.34768212
166,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,6,0.32813525
167,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,7,0.33392474
168,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,8,0.3463899
169,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,9,0.32427636
170,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,0,0.32077315
171,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,1,0.31155092
172,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,2,0.3256635
173,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,3,0.30930623
174,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,4,0.3299237
175,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,5,0.32482716
176,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,6,0.30527228
